Source;Target;Label;Weight
4;1;2;2
6;1;2;2
9;1;L;0.5
16;1;3L;2.5
17;1;L;2
20;1;1;5
28;1;2;4
29;1;13;6
30;1;L;0.5
31;1;L;1
32;1;2;2
33;1;L;0.5
34;1;1;5
35;1;2L;2.5
36;1;3;1
37;1;3;1
39;1;1;5
44;1;2;2
45;1;1;5
49;1;L;0.5
56;1;2;2
57;1;L;0.5
60;1;C2;7
61;1;C;5
63;1;L;0.5
73;1;1;5
76;1;2;2
79;1;L;1
87;1;L;1.5
89;1;23L;3.5
95;1;L;2
100;1;3;1
101;1;3;1
103;1;3;1
105;1;3;1
111;1;L;1
113;1;3;1
119;1;L;0.5
123;1;CL;6
125;1;2;2
128;1;2;2
4;2;1;5
5;2;1;5
19;2;2;2
20;2;2;2
27;2;1;5
28;2;1;5
33;2;2;2
36;2;2;2
40;2;2;4
44;2;1;10
45;2;1;10
47;2;3;1
54;2;1;5
57;2;L;0.5
59;2;1;5
67;2;C;5
69;2;1;5
83;2;2;2
88;2;1;5
94;2;1;5
98;2;1;5
105;2;1;5
110;2;1;5
123;2;1;5
125;2;1;5
1;4;2;2
2;4;1;5
16;4;1;5
26;4;2;2
35;4;2;2
37;4;1;5
38;4;2L;2.5
41;4;3;1
53;4;1;5
65;4;2;2
73;4;1;5
81;4;L;0.5
86;4;2;2
95;4;2;2
99;4;L;0.5
100;4;2;2
105;4;1;5
115;4;L;1.5
116;4;L;0.5
118;4;1;5
127;4;1;5
2;5;1;5
11;5;1;5
32;5;2;2
38;5;C;5
44;5;C;5
47;5;C;5
57;5;C;5
88;5;C;5
99;5;C;5
101;5;1;5
107;5;C;5
114;5;C;5
118;5;2;2
1;6;2;2
8;6;L;0.5
13;6;2;2
34;6;L;0.5
37;6;L;0.5
44;6;2;2
46;6;1;10
50;6;1;5
60;6;1;5
62;6;1;5
92;6;L;0.5
97;6;C1;10
106;6;L;0.5
114;6;1;5
9;7;C;5
12;7;12;7
16;7;2;2
19;7;C;5
20;7;L;0.5
26;7;1;5
27;7;1;5
31;7;2L;2.5
35;7;C;5
39;7;3;1
41;7;1;5
42;7;1;5
47;7;1;5
49;7;3;1
51;7;1;5
54;7;2;2
55;7;C;5
56;7;1;5
58;7;2;2
65;7;L;0.5
67;7;3;1
69;7;C;5
77;7;3;1
79;7;3;1
81;7;1;5
83;7;L;0.5
90;7;C;5
92;7;C;5
94;7;CL;5.5
95;7;L;0.5
97;7;L;0.5
111;7;2;2
119;7;1;5
124;7;2;2
127;7;3;1
6;8;L;0.5
10;8;1;5
16;8;C;5
20;8;C1;10
29;8;C;5
32;8;2;2
42;8;2;2
46;8;C;5
49;8;C;5
52;8;C;5
54;8;C;5
56;8;C;5
65;8;C;5
89;8;C;5
99;8;1;5
100;8;1;5
101;8;C;5
115;8;1;5
117;8;2;2
118;8;1;5
119;8;C;5
127;8;2;2
1;9;L;0.5
7;9;C;5
11;9;1;5
13;9;2;2
19;9;C2;7
27;9;1;5
28;9;2;2
35;9;CL;6
38;9;2;2
43;9;2;2
45;9;2;2
49;9;3;1
51;9;2;2
54;9;23;3
55;9;CL;6
63;9;L;0.5
64;9;1;5
69;9;C;5
