Id;Label;Attribute
1;"Andy Murray";1
2;"Illya Marchenko";1
3;"Andrey Rublev";1
4;"Yen Hsun Lu";1
5;"Alex De Minaur";1
6;"Gerald Melzer";1
7;"Sam Querrey";1
8;"Quentin Halys";1
9;"John Isner";1
10;"Konstantin Kravchuk";1
11;"Mischa Zverev";1
12;"Guillermo Garcia Lopez";1
13;"Malek Jaziri";1
14;"Go Soeda";1
15;"Alexander Bublik";1
16;"Lucas Pouille";1
17;"Tomas Berdych";1
18;"Luca Vanni";1
19;"Ryan Harrison";1
20;"Nicolas Mahut";1
21;"Noah Rubin";1
22;"Bjorn Fratangelo";1
23;"Roger Federer";1
24;"Jurgen Melzer";1
25;"Lukas Lacko";1
26;"Albert Ramos";1
27;"Dudi Sela";1
28;"Marcel Granollers";1
29;"Jeremy Chardy";1
30;"Nicolas Almagro";1
31;"Kei Nishikori";1
32;"Andrey Kuznetsov";1
33;"Stanislas Wawrinka";1
34;"Martin Klizan";1
35;"Steve Johnson";1
36;"Federico Delbonis";1
37;"Paolo Lorenzi";1
38;"James Duckworth";1
39;"Viktor Troicki";1
40;"Damir Dzumhur";1
41;"Diego Sebastian Schwartzman";1
42;"Pablo Cuevas";1
43;"Steve Darcis";1
44;"Samuel Groth";1
45;"Andreas Seppi";1
46;"Paul Henri Mathieu";1
47;"Nick Kyrgios";1
48;"Gastao Elias";1
49;"Jo Wilfried Tsonga";1
50;"Thiago Monteiro";1
51;"Dusan Lajovic";1
52;"Stephane Robert";1
53;"Karen Khachanov";1
54;"Adrian Mannarino";1
55;"Jack Sock";1
56;"Pierre Hugues Herbert";1
57;"Bernard Tomic";1
58;"Thomaz Bellucci";1
59;"Victor Estrella";1
60;"Aljaz Bedene";1
61;"Daniel Evans";1
62;"Facundo Bagnis";1
63;"Marin Cilic";1
64;"Jerzy Janowicz";1
65;"Gael Monfils";1
66;"Jiri Vesely";1
67;"Alexandr Dolgopolov";1
68;"Borna Coric";1
69;"Donald Young";1
70;"Thomas Fabbiano";1
71;"Philipp Kohlschreiber";1
72;"Nikoloz Basilashvili";1
73;"Alexander Zverev";1
74;"Robin Haase";1
75;"Francis Tiafoe";1
76;"Mikhail Kukushkin";1
77;"Marcos Baghdatis";1
78;"Mikhail Youzhny";1
79;"Rafael Nadal";1
80;"Florian Mayer";1
81;"Roberto Bautista Agut";1
82;"Guido Pella";1
83;"Yoshihito Nishioka";1
84;"Alex Bolt";1
85;"Ernesto Escobedo";1
86;"Daniil Medvedev";1
87;"David Ferrer";1
88;"Omar Jasika";1
89;"Gilles Simon";1
90;"Michael Mmoh";1
91;"Rogerio Dutra Silva";1
92;"Jared Donaldson";1
93;"Gilles Muller";1
94;"Taylor Harry Fritz";1
95;"Milos Raonic";1
96;"Dustin Brown";1
97;"Dominic Thiem";1
98;"Jan Lennard Struff";1
99;"Jordan Thompson";1
100;"Joao Sousa";1
101;"Benoit Paire";1
102;"Tommy Haas";1
103;"Fabio Fognini";1
104;"Feliciano Lopez";1
105;"Ivo Karlovic";1
106;"Horacio Zeballos";1
107;"Andrew Whittington";1
108;"Adam Pavlasek";1
109;"Radek Stepanek";1
110;"Dmitry Tursunov";1
111;"David Goffin";1
112;"Reilly Opelka";1
113;"Grigor Dimitrov";1
114;"Christopher Oconnell";1
115;"Hyeon Chung";1
116;"Renzo Olivo";1
117;"Carlos Berlocq";1
118;"Radu Albot";1
119;"Richard Gasquet";1
120;"Blake Mott";1
121;"Pablo Carreno Busta";1
122;"Peter Polansky";1
123;"Kyle Edmund";1
124;"Santiago Giraldo";1
125;"Denis Istomin";1
126;"Ivan Dodig";1
127;"Novak Djokovic";1
128;"Fernando Verdasco";1
