Source;Target;Label;Weight
2;1;2;2
3;1;1;5
5;1;L;0.5
9;1;L;0.5
11;1;3;1
15;1;L;1.5
17;1;2;2
26;1;3;1
29;1;1;5
31;1;L;1
37;1;1;5
39;1;23;3
50;1;L;0.5
51;1;CL;6
53;1;3;1
54;1;1;5
56;1;L;0.5
57;1;L;1
59;1;3;1
63;1;L;0.5
65;1;L;1
71;1;2;2
72;1;2;2
78;1;C;5
83;1;C2;7
88;1;3;1
90;1;2L;2.5
91;1;1;5
97;1;L;0.5
98;1;2L;2.5
100;1;1;5
101;1;3;1
103;1;2L;2.5
110;1;2;2
111;1;L;0.5
113;1;3L;2.5
119;1;3L;1.5
128;1;2;2
1;2;2;2
3;2;1;10
11;2;L;0.5
13;2;C;5
15;2;12;7
20;2;1;5
23;2;1;5
27;2;1;5
31;2;13;6
33;2;L;0.5
39;2;2;2
50;2;1;10
54;2;1;5
61;2;C1;10
62;2;1;10
68;2;C2;7
72;2;2;2
73;2;L;1
78;2;L;0.5
81;2;3;1
84;2;1;10
87;2;1;5
89;2;C;5
92;2;C1;10
94;2;2;2
95;2;3;1
105;2;12;7
111;2;1;5
115;2;12;12
118;2;C;5
119;2;2;4
1;3;1;5
2;3;1;10
5;3;1;5
15;3;L;0.5
17;3;1;5
21;3;1;5
23;3;2;2
25;3;L;0.5
33;3;1;5
45;3;1;5
56;3;2;2
68;3;1;5
80;3;L;0.5
83;3;2;2
85;3;1;5
89;3;L;0.5
96;3;1;5
100;3;1;5
103;3;1;5
113;3;L;0.5
114;3;1;5
122;3;2;2
125;3;1;5
127;3;1;5
19;4;C;5
29;4;C;5
41;4;C;5
46;4;C;5
47;4;C;5
50;4;C;5
61;4;1;5
66;4;1;5
70;4;C;5
80;4;C;5
90;4;C;5
96;4;C;5
100;4;C;5
102;4;C;5
108;4;C;5
113;4;C;5
114;4;C;5
117;4;C;5
1;5;L;0.5
3;5;1;5
7;5;2;2
11;5;1;5
17;5;C;5
18;5;2;2
20;5;1;5
