Id;Label;Attribute
1;"Andy Murray";1
2;"Andrey Kuznetsov";1
3;"Martin Klizan";1
4;"Laurent Lokoli";1
5;"Nicolas Almagro";1
6;"Marcos Baghdatis";1
7;"Juan Martin Del Potro";1
8;"Guido Pella";1
9;"John Isner";1
10;"Jordan Thompson";1
11;"Paolo Lorenzi";1
12;"Ricardas Berankis";1
13;"Karen Khachanov";1
14;"Nicolas Jarry";1
15;"Tomas Berdych";1
16;"Jan Lennard Struff";1
17;"Fernando Verdasco";1
18;"Alexander Zverev";1
19;"Pierre Hugues Herbert";1
20;"Jared Donaldson";1
21;"Nicolas Kicker";1
22;"Damir Dzumhur";1
23;"Pablo Cuevas";1
24;"Maxime Hamou";1
25;"Hyeon Chung";1
26;"Sam Querrey";1
27;"Denis Istomin";1
28;"Ernesto Escobedo";1
29;"Jeremy Chardy";1
30;"Radu Albot";1
31;"Kei Nishikori";1
32;"Thanasi Kokkinakis";1
33;"Stanislas Wawrinka";1
34;"Jozef Kovalik";1
35;"Alexandr Dolgopolov";1
36;"Carlos Berlocq";1
37;"Andreas Seppi";1
38;"Santiago Giraldo";1
39;"Fabio Fognini";1
40;"Francis Tiafoe";1
41;"Richard Gasquet";1
42;"Arthur De Greef";1
43;"Victor Estrella";1
44;"Teymuraz Gabashvili";1
45;"Thiago Monteiro";1
46;"Alexandre Muller";1
47;"Gael Monfils";1
48;"Dustin Brown";1
49;"Renzo Olivo";1
50;"Jo Wilfried Tsonga";1
51;"Kyle Edmund";1
52;"Gastao Elias";1
53;"Kevin Anderson";1
54;"Malek Jaziri";1
55;"Nick Kyrgios";1
56;"Philipp Kohlschreiber";1
57;"David Ferrer";1
58;"Donald Young";1
59;"Feliciano Lopez";1
60;"Bjorn Fratangelo";1
61;"Konstantin Kravchuk";1
62;"Federico Delbonis";1
63;"Marin Cilic";1
64;"Ernests Gulbis";1
65;"Milos Raonic";1
66;"Steve Darcis";1
67;"Rogerio Dutra Silva";1
68;"Mikhail Youzhny";1
69;"Marco Trungelliti";1
70;"Quentin Halys";1
71;"Guillermo Garcia Lopez";1
72;"Gilles Muller";1
73;"Pablo Carreno Busta";1
74;"Florian Mayer";1
75;"Taro Daniel";1
76;"Jerzy Janowicz";1
77;"Tommy Robredo";1
78;"Daniel Evans";1
79;"Grigor Dimitrov";1
80;"Stephane Robert";1
81;"Jiri Vesely";1
82;"Jack Sock";1
83;"Aljaz Bedene";1
84;"Ryan Harrison";1
85;"Mikhail Kukushkin";1
86;"Tennys Sandgren";1
87;"Roberto Bautista Agut";1
88;"John Millman";1
89;"Nikoloz Basilashvili";1
90;"Gilles Simon";1
91;"Viktor Troicki";1
92;"Evgeny Donskoy";1
93;"Robin Haase";1
94;"Alex De Minaur";1
95;"Rafael Nadal";1
96;"Benoit Paire";1
97;"Dominic Thiem";1
98;"Bernard Tomic";1
99;"Simone Bolelli";1
100;"Nicolas Mahut";1
101;"Borna Coric";1
102;"Mathias Bourgue";1
103;"Steve Johnson";1
104;"Yuichi Sugita";1
105;"Ivo Karlovic";1
106;"Stefanos Tsitsipas";1
107;"Horacio Zeballos";1
108;"Adrian Mannarino";1
109;"Sergiy Stakhovsky";1
110;"Yen Hsun Lu";1
111;"David Goffin";1
112;"Paul Henri Mathieu";1
113;"Lucas Pouille";1
114;"Julien Benneteau";1
115;"Thomaz Bellucci";1
116;"Dusan Lajovic";1
117;"Benjamin Bonzi";1
118;"Daniil Medvedev";1
119;"Albert Ramos";1
120;"Marius Copil";1
121;"Stefano Napolitano";1
122;"Mischa Zverev";1
123;"Diego Sebastian Schwartzman";1
124;"Andrey Rublev";1
125;"Joao Sousa";1
126;"Janko Tipsarevic";1
127;"Novak Djokovic";1
128;"Marcel Granollers";1
