Source;Target;Label;Weight
8;1;2;2
10;1;2L;2.5
11;1;2;2
13;1;1;5
17;1;L;1
19;1;2;2
21;1;2;2
31;1;L;1
37;1;C3;6
39;1;C;5
40;1;3;1
41;1;3;1
47;1;1;5
48;1;3L;1.5
49;1;C;5
50;1;2;2
57;1;2;2
62;1;2;2
63;1;L;1
67;1;2;2
72;1;3;1
73;1;12;7
75;1;1;5
77;1;L;0.5
78;1;L;0.5
82;1;3L;1.5
85;1;12;7
89;1;3;1
93;1;2;2
95;1;3;2
102;1;C2;7
103;1;2;2
104;1;2;2
105;1;C3;6
106;1;1;5
111;1;CL;5.5
116;1;3;1
120;1;C;5
121;1;L;0.5
125;1;1;5
126;1;2;2
127;1;L;0.5
11;2;C2;7
24;2;1;5
31;2;2;2
33;2;2;2
35;2;2;2
37;2;1;5
38;2;3;1
39;2;2;2
41;2;2L;2.5
46;2;1;5
49;2;2;2
51;2;1;5
52;2;1;5
60;2;1;5
63;2;2;2
66;2;2;2
75;2;1;5
78;2;1;5
79;2;2;2
89;2;1;5
93;2;1;5
97;2;2;2
121;2;L;0.5
123;2;C1;10
126;2;1;5
5;3;C;5
12;3;1;5
14;3;1;5
25;3;1;5
29;3;L;0.5
59;3;2;2
87;3;L;0.5
111;3;2;2
116;3;1;5
123;3;1;5
16;4;C;5
18;4;1;5
21;4;C1;10
45;4;2;2
54;4;C;5
59;4;C;5
61;4;C2;7
65;4;C;5
68;4;C;5
70;4;C;5
74;4;C;5
77;4;1;5
79;4;C2;7
82;4;C;5
87;4;3L;1.5
101;4;C;5
113;4;2;2
115;4;C;5
128;4;CL;5.5
3;5;C;5
8;5;2;2
17;5;1;5
23;5;1;5
31;5;L;0.5
33;5;1;5
55;5;1;5
57;5;2;2
61;5;2;2
62;5;L;0.5
63;5;L;0.5
67;5;L;0.5
72;5;3;1
82;5;1;5
83;5;L;0.5
86;5;2;2
98;5;L;0.5
101;5;1;5
102;5;1;5
111;5;3;1
120;5;2;2
123;5;1L;5.5
128;5;1;5
8;6;C;5
18;6;C1;10
23;6;C;5
24;6;C;5
57;6;C;5
66;6;C;5
75;6;C;5
80;6;C;5
97;6;C;5
113;6;C;5
1;8;2;2
5;8;2;2
6;8;C;5
11;8;1;5
14;8;L;0.5
15;8;2;2
18;8;C;5
19;8;1;5
23;8;C13L;12
24;8;C;5
31;8;13;6
35;8;2;2
45;8;2;2
57;8;C;5
65;8;1;5
66;8;C;5
73;8;L;0.5
75;8;CL;5.5
79;8;L;0.5
80;8;C;5
82;8;3;1
88;8;2;2
89;8;2L;2.5
95;8;2L;2.5
97;8;C;5
101;8;2;2
103;8;1L;5.5
104;8;1L;5.5
111;8;2;2
113;8;CL;5.5
120;8;1;5
122;8;2;4
123;8;L;0.5
1;10;2L;2.5
11;10;1;5
12;10;2;2
16;10;1;5
19;10;2;2
24;10;3;1
26;10;3;1
28;10;2;2
29;10;L;0.5
39;10;1;5
40;10;2;2
41;10;1L;6
49;10;L;0.5
50;10;C2;7
52;10;L;0.5
58;10;1;5
63;10;2;2
67;10;1;5
73;10;2;2
75;10;2;2
83;10;C;5
85;10;C2;7
86;10;12;7
91;10;L;0.5
92;10;C2;7
94;10;2;2
95;10;3;1
97;10;2;2
100;10;1;5
105;10;12L;12.5
110;10;1;5
111;10;1L;10.5
120;10;2;4
1;11;2;2
2;11;C2;7
8;11;1;5
10;11;1;5
13;11;1;5
21;11;2;2
25;11;1;5
26;11;1;5
31;11;L;0.5
41;11;L;0.5
46;11;1;5
48;11;1;5
49;11;3;1
57;11;1;5
62;11;12;7
63;11;2;2
72;11;2L;2.5
75;11;1;5
79;11;1;5
85;11;2;4
87;11;L;0.5
89;11;1L;5.5
95;11;2;2
100;11;2;2
104;11;2;2
115;11;2;2
116;11;2;2
117;11;1;10
120;11;L;0.5
122;11;12;7
123;11;C1;10
125;11;1;5
3;12;1;5
10;12;2;2
14;12;1;5
18;12;L;0.5
29;12;L;0.5
36;12;L;0.5
38;12;L;0.5
48;12;L;0.5
50;12;1;5
51;12;L;0.5
59;12;2;2
73;12;1;5
88;12;1;5
91;12;1;5
94;12;1;5
100;12;2;2
106;12;2;2
117;12;1;5
1;13;1;5
11;13;1;5
20;13;1;5
23;13;2;2
26;13;2;2
33;13;1;5
38;13;2;2
40;13;L;0.5
41;13;2;2
45;13;1;5
46;13;1;10
48;13;2;2
49;13;1;5
52;13;1;5
72;13;L;0.5
78;13;2;4
87;13;1;5
89;13;1;5
93;13;1;5
111;13;L;1
120;13;1;10
122;13;1;5
123;13;1;5
127;13;1;5
3;14;1;5
8;14;L;0.5
12;14;1;5
15;14;1;5
17;14;2;2
20;14;L;0.5
21;14;1;5
24;14;1;5
25;14;L;0.5
26;14;2;2
29;14;1;5
30;14;1;5
31;14;2;2
35;14;1;5
40;14;1;5
41;14;CL;5.5
43;14;1;5
49;14;2L;2.5
50;14;3;1
51;14;C;5
52;14;2;2
63;14;1;5
65;14;2;2
66;14;2;4
73;14;C;5
79;14;13;6
80;14;1;5
88;14;1;5
93;14;L;0.5
95;14;CL;5.5
98;14;1;5
100;14;12L;7.5
113;14;12;9
117;14;1;5
121;14;3;1
125;14;C;5
8;15;2;2
14;15;1;5
16;15;2;4
20;15;1;5
24;15;1;5
29;15;2;2
32;15;C;5
33;15;3L;2
39;15;L;1
40;15;12;7
52;15;L;0.5
55;15;1;5
57;15;L;0.5
59;15;2;2
66;15;3L;1.5
72;15;2;2
73;15;1;5
77;15;2;2
85;15;L;0.5
86;15;2;2
87;15;13;6
88;15;2;2
92;15;1;5
94;15;C2L;7.5
95;15;3L;1.5
97;15;L;1
98;15;1;5
104;15;2;4
106;15;1;5
116;15;1;5
120;15;3;1
122;15;2;2
124;15;L;0.5
127;15;3;1
4;16;C;5
10;16;1;5
15;16;2;4
21;16;CL;5.5
25;16;1L;5.5
30;16;1;5
31;16;1;5
40;16;1;5
47;16;2;2
48;16;12;7
49;16;2;2
54;16;C;5
55;16;2;2
57;16;1;5
59;16;C;5
61;16;C;5
62;16;23;3
65;16;C2;7
68;16;CL;5.5
70;16;C;5
73;16;1;5
74;16;C;5
79;16;C;5
82;16;C2;7
83;16;1;5
87;16;1;5
88;16;12;7
89;16;2;2
93;16;1;5
101;16;C;5
103;16;L;0.5
113;16;1;5
115;16;C1;10
120;16;L;0.5
123;16;1;5
127;16;2;2
128;16;C;5
1;17;L;1
5;17;1;5
14;17;2;2
20;17;C1L;10.5
23;17;3;1
31;17;L;1
37;17;2;4
40;17;1;5
45;17;2;2
48;17;1;5
49;17;L;0.5
52;17;1;5
55;17;12;7
60;17;3;1
62;17;1;5
63;17;3;1
65;17;2;2
72;17;123;8
75;17;2;2
77;17;2;2
78;17;3;1
80;17;L;0.5
86;17;L;0.5
94;17;2;2
98;17;L;0.5
102;17;2;2
104;17;12L;7.5
105;17;3;1
113;17;L;0.5
114;17;C;5
115;17;1;5
116;17;2;2
121;17;3L;1.5
125;17;2;4
127;17;3L;2.5
4;18;1;5
6;18;C1;10
8;18;C;5
12;18;L;0.5
23;18;C;5
24;18;C;5
31;18;2;2
35;18;1;5
39;18;1;5
51;18;12;7
57;18;C;5
66;18;C12;12
75;18;C;5
77;18;3;1
80;18;C1;10
95;18;L;0.5
97;18;C;5
105;18;1;5
111;18;2;2
113;18;C1L;10.5
117;18;1;5
126;18;L;0.5
1;19;2;2
8;19;1;5
10;19;2;2
28;19;C;5
31;19;2;2
35;19;2;2
40;19;1;5
45;19;1;5
49;19;1;5
55;19;C1;10
59;19;1;5
73;19;2;4
77;19;L;0.5
78;19;CL;5.5
82;19;1;5
101;19;1;5
105;19;1L;5.5
108;19;1;5
121;19;C;5
122;19;C2;7
13;20;1;5
14;20;L;0.5
15;20;1;5
17;20;C1L;10.5
21;20;L;0.5
25;20;12;7
29;20;1;5
37;20;2;2
50;20;23;3
58;20;1;5
67;20;1;5
75;20;1;5
79;20;2;2
81;20;1;5
88;20;1;5
94;20;2;2
98;20;2;2
100;20;2;2
105;20;2;2
106;20;1L;5.5
114;20;C;5
116;20;2;2
120;20;2;2
121;20;2;2
127;20;L;0.5
1;21;2;2
4;21;C1;10
11;21;2;2
14;21;1;5
16;21;CL;5.5
20;21;L;0.5
37;21;1;5
41;21;2;2
46;21;1;5
48;21;12;7
51;21;1;5
54;21;C;5
57;21;1;10
59;21;C;5
60;21;12;7
61;21;C2;7
65;21;C2;7
68;21;C;5
70;21;C;5
74;21;C;5
75;21;13;6
77;21;1;5
79;21;CL;5.5
82;21;CL;5.5
83;21;1;5
88;21;1;5
93;21;2;2
101;21;C;5
103;21;1;5
106;21;1;5
113;21;23;3
114;21;1;5
115;21;C2;7
120;21;1;5
126;21;1;5
127;21;L;0.5
128;21;C;5
5;23;1;5
6;23;C;5
8;23;C13L;12
13;23;2;2
17;23;3;1
18;23;C;5
24;23;C;5
37;23;L;0.5
41;23;3;1
46;23;2;2
