Id;Label;Attribute
1;"Rafael Nadal";1
2;"Dusan Lajovic";1
3;"Taro Daniel";1
4;"Tommy Paul";1
5;"Yuichi Sugita";1
6;"Geoffrey Blancaneaux";1
7;"Leonardo Mayer";1
8;"Richard Gasquet";1
9;"Stefano Travaglia";1
10;"Fabio Fognini";1
11;"Viktor Troicki";1
12;"Norbert Gombos";1
13;"Alexandr Dolgopolov";1
14;"Jan Lennard Struff";1
15;"Tomas Berdych";1
16;"Ryan Harrison";1
17;"David Goffin";1
18;"Julien Benneteau";1
19;"Guido Pella";1
20;"Steve Darcis";1
21;"Donald Young";1
22;"Maximilian Marterer";1
23;"Gael Monfils";1
24;"Jeremy Chardy";1
25;"Damir Dzumhur";1
26;"Pablo Cuevas";1
27;"Cedrik Marcel Stebe";1
28;"Nicolas Kicker";1
29;"Andrey Rublev";1
30;"Aljaz Bedene";1
31;"Grigor Dimitrov";1
32;"Vaclav Safranek";1
33;"Roger Federer";1
34;"Francis Tiafoe";1
35;"Mikhail Youzhny";1
36;"Blaz Kavcic";1
37;"Fernando Verdasco";1
38;"Vasek Pospisil";1
39;"Feliciano Lopez";1
40;"Andrey Kuznetsov";1
41;"Philipp Kohlschreiber";1
42;"Tim Smyczek";1
43;"Santiago Giraldo";1
44;"Vincent Millot";1
45;"Malek Jaziri";1
46;"Thiago Monteiro";1
47;"John Millman";1
48;"Nick Kyrgios";1
49;"Roberto Bautista Agut";1
50;"Andreas Seppi";1
51;"Dustin Brown";1
52;"Thomaz Bellucci";1
53;"Adrian Menendez Maceiras";1
54;"Patrick Kypson";1
55;"Juan Martin Del Potro";1
56;"Henri Laaksonen";1
57;"Adrian Mannarino";1
58;"Ricardas Berankis";1
59;"Bjorn Fratangelo";1
60;"Ivo Karlovic";1
61;"Taylor Harry Fritz";1
62;"Marcos Baghdatis";1
63;"Dominic Thiem";1
64;"Alex De Minaur";1
65;"Sam Querrey";1
66;"Gilles Simon";1
67;"Dudi Sela";1
68;"Christopher Eubanks";1
69;"Radu Albot";1
70;"Ernesto Escobedo";1
71;"Yen Hsun Lu";1
72;"Karen Khachanov";1
73;"Mischa Zverev";1
74;"Thai Son Kwiatkowski";1
75;"Benoit Paire";1
76;"Lukas Lacko";1
77;"Hyeon Chung";1
78;"Horacio Zeballos";1
79;"John Isner";1
80;"Pierre Hugues Herbert";1
81;"Jordan Thompson";1
82;"Jack Sock";1
83;"Thomas Fabbiano";1
84;"John Patrick Smith";1
85;"Paolo Lorenzi";1
86;"Joao Sousa";1
87;"Gilles Muller";1
88;"Bernard Tomic";1
89;"Kevin Anderson";1
90;"Jc Aragone";1
91;"Ernests Gulbis";1
92;"Alessandro Giannessi";1
93;"Borna Coric";1
94;"Jiri Vesely";1
95;"Alexander Zverev";1
96;"Darian King";1
97;"Jo Wilfried Tsonga";1
98;"Marius Copil";1
99;"Denis Shapovalov";1
100;"Daniil Medvedev";1
101;"Steve Johnson";1
102;"Nicolas Almagro";1
103;"Kyle Edmund";1
104;"Robin Haase";1
105;"Albert Ramos";1
106;"Denis Istomin";1
107;"Nicolas Mahut";1
108;"Marton Fucsovics";1
109;"Cameron Norrie";1
110;"Dmitry Tursunov";1
111;"Pablo Carreno Busta";1
112;"Evan King";1
113;"Lucas Pouille";1
114;"Ruben Bemelmans";1
115;"Jared Donaldson";1
116;"Nikoloz Basilashvili";1
117;"Evgeny Donskoy";1
118;"Andreas Haider Maurer";1
119;"Mikhail Kukushkin";1
120;"David Ferrer";1
121;"Diego Sebastian Schwartzman";1
122;"Carlos Berlocq";1
123;"Janko Tipsarevic";1
124;"Thanasi Kokkinakis";1
125;"Florian Mayer";1
126;"Rogerio Dutra Silva";1
127;"Marin Cilic";1
128;"Tennys Sandgren";1
