Source;Target;Label;Weight
7;1;23;3
15;1;3L;2.5
16;1;1;5
23;1;3;1
25;1;3;1
26;1;2;2
27;1;1;5
32;1;L;0.5
40;1;12;7
41;1;C;5
47;1;2;2
49;1;L;1.5
54;1;2;2
57;1;2L;2.5
62;1;1;5
64;1;L;0.5
65;1;L;1
71;1;3L;1.5
72;1;1;5
84;1;C;5
86;1;2;2
87;1;L;0.5
90;1;2L;2.5
97;1;L;0.5
98;1;2;2
99;1;2L;2.5
103;1;3;1
105;1;L;1
110;1;3;1
111;1;L;1
112;1;1;5
115;1;CL;5.5
120;1;3;1
121;1;3;1
128;1;12;7
11;3;L;0.5
17;3;2;2
28;3;L;0.5
30;3;C;5
35;3;1;5
41;3;2;2
47;3;1;5
52;3;12;7
55;3;2;2
57;3;2;2
58;3;1;5
60;3;1;5
61;3;C;5
63;3;2;2
64;3;C;5
65;3;1;10
66;3;C;5
67;3;L;0.5
72;3;L;0.5
73;3;2;2
76;3;12;7
79;3;C;5
83;3;2;2
89;3;C1;10
90;3;1;5
91;3;L;0.5
98;3;1;5
105;3;L;0.5
110;3;2;2
113;3;1;5
120;3;L;0.5
7;4;12;7
11;4;1;5
12;4;1;5
20;4;2;2
27;4;1;5
39;4;1;5
44;4;2;2
49;4;2L;2.5
54;4;1;5
55;4;L;0.5
59;4;1;10
61;4;1;5
64;4;1;5
71;4;1L;5.5
72;4;1;5
78;4;1L;5.5
81;4;3;1
82;4;1;5
83;4;L;0.5
89;4;2;2
90;4;1;5
102;4;1;5
104;4;12;7
105;4;2;2
111;4;2;2
113;4;1;5
115;4;1;5
118;4;2;2
120;4;2;2
121;4;2;2
124;4;1;5
127;4;2;2
128;4;1;5
15;5;2;2
22;5;2;2
25;5;12;7
30;5;1;5
32;5;2;2
40;5;3;1
41;5;2;2
44;5;1;5
47;5;2;2
55;5;3;1
71;5;2;2
73;5;123;8
83;5;L;0.5
86;5;1;15
89;5;12;7
98;5;1;5
103;5;L;0.5
104;5;1;5
107;5;2;2
110;5;1L;5.5
111;5;C2L;7.5
113;5;1;5
125;5;C;5
127;5;2;2
1;7;23;3
4;7;12;7
11;7;2;4
17;7;2;2
24;7;C;5
27;7;C2;7
32;7;3;1
33;7;2L;2.5
40;7;2;2
43;7;L;0.5
44;7;2;2
49;7;L;0.5
50;7;C1;10
57;7;1;5
62;7;1;5
64;7;1L;5.5
71;7;12L;12.5
77;7;1;5
79;7;3;1
85;7;1;5
87;7;1;5
89;7;2;2
101;7;2;2
103;7;C2;7
105;7;2;4
108;7;1;5
109;7;1;5
112;7;3;1
120;7;1;5
124;7;1;5
127;7;2;2
21;8;C;5
31;8;C;5
39;8;C;5
40;8;C;5
47;8;1;5
67;8;C;5
80;8;C;5
11;9;C;5
14;9;2;2
15;9;C12;12
17;9;C2;7
22;9;1;5
26;9;2;4
30;9;1;5
35;9;1;5
52;9;C;5
66;9;1;5
68;9;C;5
73;9;1;5
76;9;1;5
80;9;2;2
89;9;1;5
97;9;L;0.5
99;9;C;5
101;9;1;5
106;9;C;5
110;9;2;2
112;9;C;5
113;9;C;5
119;9;C;5
120;9;1;10
14;10;1;5
15;10;1;5
16;10;2;2
17;10;L;0.5
23;10;1L;5.5
25;10;2;4
26;10;L;0.5
27;10;2;2
28;10;L;0.5
33;10;3;1
34;10;C;5
35;10;12;7
41;10;1;5
42;10;3;1
43;10;2;2
47;10;L;0.5
58;10;2;2
64;10;1;5
72;10;C;5
79;10;3L;1.5
83;10;1;5
85;10;1;5
89;10;2;2
90;10;C;5
95;10;L;1
101;10;2;2
104;10;2;4
109;10;12;7
110;10;2;2
113;10;L;0.5
118;10;C;5
122;10;C;5
127;10;L;0.5
3;11;L;0.5
4;11;1;5
7;11;2;4
9;11;C;5
13;11;L;0.5
15;11;CL;5.5
17;11;C;5
21;11;1;5
22;11;1;5
30;11;1;10
31;11;1;5
32;11;2;4
33;11;1;5
35;11;3;1
39;11;1;5
41;11;L;0.5
47;11;3;1
48;11;L;0.5
52;11;C;5
55;11;L;0.5
59;11;2;2
61;11;1;10
62;11;1;5
63;11;1;10
64;11;L;0.5
68;11;C1;10
72;11;1;5
79;11;L;0.5
83;11;2;2
86;11;2;2
93;11;1;5
95;11;1;5
97;11;3;1
99;11;C;5
101;11;2;2
102;11;2;2
103;11;1;5
104;11;3;1
106;11;CL;5.5
107;11;1;5
110;11;1;5
112;11;C;5
113;11;C;5
119;11;C;5
120;11;2;2
128;11;1;5
4;12;1;5
24;12;1;5
32;12;2;2
33;12;2;2
37;12;CL;6
44;12;1;5
52;12;L;0.5
55;12;2;2
58;12;12;7
60;12;L;0.5
63;12;1;5
65;12;2;2
67;12;1;5
76;12;C;5
90;12;2;2
93;12;1;10
99;12;2;2
101;12;1;5
104;12;1L;6
113;12;2;2
124;12;L;0.5
11;13;L;0.5
14;13;L;0.5
21;13;1;5
22;13;L;0.5
40;13;1;5
47;13;1;5
63;13;1;5
81;13;2;4
85;13;1;5
92;13;1;5
104;13;2;2
108;13;2;2
119;13;2;2
127;13;1;5
9;14;2;2
10;14;1;5
13;14;L;0.5
24;14;1;5
50;14;1;5
52;14;1;5
65;14;C;5
72;14;1;5
81;14;2;2
98;14;C2;7
107;14;L;0.5
111;14;2;2
115;14;1;5
1;15;3L;2.5
5;15;2;2
9;15;C12;12
10;15;1;5
11;15;CL;5.5
17;15;C;5
20;15;1;5
23;15;1;5
26;15;1;5
31;15;L;0.5
35;15;23;3
41;15;2;2
52;15;C1L;10.5
54;15;2;2
55;15;3;1
61;15;2;2
64;15;1L;5.5
66;15;12;9
68;15;C;5
71;15;3L;1.5
76;15;2;2
80;15;L;0.5
81;15;2;2
91;15;1;5
99;15;C1;10
103;15;2L;2.5
106;15;CL;5.5
109;15;1;5
112;15;C;5
113;15;CL;5.5
115;15;2;2
119;15;C3;6
120;15;12;7
125;15;1;5
128;15;L;0.5
1;16;1;5
10;16;2;2
17;16;1;5
18;16;1;5
25;16;12;7
32;16;3;1
34;16;1;5
40;16;1;5
59;16;1;5
64;16;1;5
65;16;2;2
68;16;1;5
73;16;1;5
79;16;3;1
82;16;1;5
86;16;12;7
87;16;2;2
89;16;13;6
96;16;1;5
99;16;1L;5.5
102;16;L;0.5
106;16;2;2
108;16;1;5
112;16;1;5
120;16;2;2
3;17;2;2
7;17;2;2
9;17;C2;7
10;17;L;0.5
11;17;C;5
15;17;C;5
16;17;1;5
21;17;L;0.5
22;17;2;2
25;17;3;1
31;17;L;0.5
32;17;L;0.5
37;17;1;5
39;17;L;0.5
