Id;Label;Attribute
1;"Andy Murray";1
2;"Alexander Bublik";1
3;"Dustin Brown";1
4;"Joao Sousa";1
5;"Jiri Vesely";1
6;"Illya Marchenko";1
7;"Fabio Fognini";1
8;"Dmitry Tursunov";1
9;"Pierre Hugues Herbert";1
10;"Nick Kyrgios";1
11;"Benoit Paire";1
12;"Rogerio Dutra Silva";1
13;"Jerzy Janowicz";1
14;"Denis Shapovalov";1
15;"Lucas Pouille";1
16;"Malek Jaziri";1
17;"Jo Wilfried Tsonga";1
18;"Cameron Norrie";1
19;"Simone Bolelli";1
20;"Yen Hsun Lu";1
21;"Nikoloz Basilashvili";1
22;"Carlos Berlocq";1
23;"Sam Querrey";1
24;"Thomas Fabbiano";1
25;"Kevin Anderson";1
26;"Fernando Verdasco";1
27;"Andreas Seppi";1
28;"Norbert Gombos";1
29;"Ruben Bemelmans";1
30;"Tommy Haas";1
31;"Daniil Medvedev";1
32;"Stanislas Wawrinka";1
33;"Rafael Nadal";1
34;"John Millman";1
35;"Donald Young";1
36;"Denis Istomin";1
37;"Thiago Monteiro";1
38;"Andrew Whittington";1
39;"Karen Khachanov";1
40;"Andrey Kuznetsov";1
41;"Aljaz Bedene";1
42;"Ivo Karlovic";1
43;"Damir Dzumhur";1
44;"Renzo Olivo";1
45;"Lukas Rosol";1
46;"Henri Laaksonen";1
47;"Gilles Muller";1
48;"Marton Fucsovics";1
49;"Kei Nishikori";1
50;"Marco Cecchinato";1
51;"Sergiy Stakhovsky";1
52;"Julien Benneteau";1
53;"Peter Gojowczyk";1
54;"Marius Copil";1
55;"Roberto Bautista Agut";1
56;"Andreas Haider Maurer";1
57;"Steve Johnson";1
58;"Nicolas Kicker";1
59;"Radu Albot";1
60;"Facundo Bagnis";1
61;"Florian Mayer";1
62;"Viktor Troicki";1
63;"Marin Cilic";1
64;"Philipp Kohlschreiber";1
65;"Milos Raonic";1
66;"Jan Lennard Struff";1
67;"Mikhail Youzhny";1
68;"Nicolas Mahut";1
69;"Andrey Rublev";1
70;"Stefano Travaglia";1
71;"Albert Ramos";1
72;"Jordan Thompson";1
73;"Jack Sock";1
74;"Christian Garin";1
75;"Sebastian Ofner";1
76;"Thomaz Bellucci";1
77;"Francis Tiafoe";1
78;"Robin Haase";1
79;"Alexander Zverev";1
80;"Evgeny Donskoy";1
81;"Grigor Dimitrov";1
82;"Diego Sebastian Schwartzman";1
83;"Marcos Baghdatis";1
84;"James Ward";1
85;"Dudi Sela";1
86;"Marcel Granollers";1
87;"John Isner";1
88;"Taylor Harry Fritz";1
89;"Mischa Zverev";1
90;"Bernard Tomic";1
91;"Mikhail Kukushkin";1
92;"Taro Daniel";1
93;"Dusan Lajovic";1
94;"Stefanos Tsitsipas";1
95;"Roger Federer";1
96;"Alexandr Dolgopolov";1
97;"Dominic Thiem";1
98;"Vasek Pospisil";1
99;"Gilles Simon";1
100;"Nicolas Jarry";1
101;"Jared Donaldson";1
102;"Janko Tipsarevic";1
103;"Paolo Lorenzi";1
104;"Horacio Zeballos";1
105;"David Ferrer";1
106;"Richard Gasquet";1
107;"Steve Darcis";1
108;"Ricardas Berankis";1
109;"Ryan Harrison";1
110;"Borna Coric";1
111;"Tomas Berdych";1
112;"Jeremy Chardy";1
113;"Gael Monfils";1
114;"Daniel Brands";1
115;"Kyle Edmund";1
116;"Alexander Ward";1
117;"Yuichi Sugita";1
118;"Brydan Klein";1
119;"Adrian Mannarino";1
120;"Feliciano Lopez";1
121;"Juan Martin Del Potro";1
122;"Thanasi Kokkinakis";1
123;"Ernests Gulbis";1
124;"Victor Estrella";1
125;"Adam Pavlasek";1
126;"Ernesto Escobedo";1
127;"Novak Djokovic";1
128;"Martin Klizan";1
